Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH
Boomer Creek,16018412702,16,68.75,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,50.0
Canagagigue Creek,16018405102,14,57.14,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,7,14.29
Conestogo River,16018402902,26,53.85,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13,46.15,0,,0,,0,,13,61.54
,6002400802,28,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,100.0,0,,0,,0,,14,0.0
Mckenzie Creek,16018412902,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
Big Otter Creek,16010900702,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
,6016300102,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
Sawguin Creek,17001600102,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
,4001304202,14,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,7,0.0
Conestogo River,16018407502,10,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,3,0.0
,4001308602,8,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,25.0
,4001303302,76,47.37,Tier 3,7,100.0,0,,0,,7,57.14,7,28.57,7,85.71,0,,7,42.86,7,0.0,0,,7,0.0,6,100.0,0,,6,0.0,7,100.0,8,12.5
,4001305802,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,85.71,0,,0,,0,,8,12.5
,4001308102,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0
,4001307302,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0
,4001311002,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0
,8005602002,13,46.15,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,100.0,0,,0,,0,,7,0.0
,4002700402,24,45.83,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,91.67,0,,0,,0,,12,0.0
Conestogo River,16018407702,18,44.44,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,77.78,0,,0,,0,,9,11.11
,16001800302,68,44.12,Tier 3,6,100.0,0,,0,,6,16.67,6,50.0,6,16.67,0,,6,100.0,6,0.0,0,,6,0.0,7,100.0,0,,6,0.0,6,100.0,7,0.0
,8012305602,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
Grand River,16018410302,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,8,75.0
Spittler Creek,16010901002,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
,8005604102,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
,6015700302,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
Irvine Creek,16018410402,7,42.86,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,0.0,0,,0,,0,,3,100.0
,4001306802,7,42.86,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,100.0,0,,0,,0,,4,0.0
Cobbs Lake Creek,18207000802,69,42.03,Tier 3,6,100.0,0,,0,,6,0.0,6,100.0,6,66.67,0,,5,100.0,6,0.0,0,,6,0.0,8,100.0,0,,6,0.0,6,0.0,8,0.0
,4002701602,24,41.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,83.33,0,,0,,0,,12,0.0
,6016400102,24,41.67,Tier 3,0,,0,,0,,0,,0,,0,,8,62.5,0,,0,,0,,0,,8,62.5,0,,0,,0,,8,0.0
Kettle Creek,16008701002,77,41.56,Tier 3,7,100.0,0,,0,,7,0.0,6,50.0,7,57.14,0,,7,85.71,7,0.0,0,,7,0.0,7,100.0,0,,7,0.0,7,71.43,8,0.0
,8002200702,22,40.91,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,81.82,0,,0,,0,,11,0.0
,4001000302,74,40.54,Tier 3,6,100.0,0,,0,,6,16.67,6,16.67,6,16.67,0,,6,83.33,6,0.0,0,,6,0.0,10,100.0,0,,6,0.0,6,100.0,10,0.0
Sixteen Mile Creek,16006300202,15,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,8,12.5
Grand River,16018406702,10,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,3,100.0
Moorefield Creek,16018409102,10,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,42.86,0,,0,,0,,3,33.33
Dodd Creek,16008700502,78,39.74,Tier 3,7,100.0,0,,0,,7,0.0,6,66.67,7,71.43,0,,7,85.71,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,14.29,8,0.0
,4002701202,23,39.13,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,81.82,0,,0,,0,,12,0.0
Little Cataraqui Creek,12000200902,18,38.89,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,77.78,0,,0,,0,,9,0.0
,4002700902,80,38.75,Tier 3,7,100.0,0,,0,,7,14.29,6,50.0,7,42.86,0,,7,100.0,7,0.0,0,,7,0.0,9,100.0,0,,7,0.0,7,14.29,9,0.0
Canard River,10000200202,57,38.6,Tier 3,5,100.0,0,,0,,5,20.0,5,0.0,5,0.0,0,,5,100.0,5,0.0,0,,5,0.0,6,100.0,0,,5,0.0,5,100.0,6,0.0
Lebo Drain,16003000302,68,38.24,Tier 3,6,100.0,0,,0,,6,16.67,6,0.0,6,16.67,0,,6,83.33,6,0.0,0,,6,0.0,7,100.0,0,,6,0.0,6,100.0,7,0.0
,8012305902,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,50.0
"Nith River,  Huron Road,  Haysville",16018415502,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,25.0
Cressy Creek,17000600102,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,75.0,0,,0,,0,,8,0.0
Demorestville Creek,17001400102,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,75.0,0,,0,,0,,8,0.0
,4001306602,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309502,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309402,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309802,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309002,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001301402,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309202,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
Oswego Creek,11000101302,83,37.35,Tier 3,7,100.0,0,,0,,7,28.57,7,57.14,7,14.29,0,,7,100.0,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
Muddy Creek,16003200202,67,37.31,Tier 3,6,100.0,0,,0,,6,16.67,6,16.67,6,0.0,0,,6,66.67,6,0.0,0,,6,0.0,7,100.0,0,,5,0.0,6,100.0,7,0.0
South Nation River,18207002002,70,37.14,Tier 3,6,100.0,0,,0,,6,0.0,6,100.0,6,16.67,0,,6,100.0,6,0.0,0,,6,0.0,8,87.5,0,,6,0.0,6,0.0,8,0.0
Sturgeon River,16002700102,74,36.49,Tier 3,6,66.67,0,,0,,6,0.0,6,0.0,6,66.67,0,,6,50.0,6,0.0,0,,6,0.0,10,100.0,0,,6,0.0,6,100.0,10,0.0
,8002202002,22,36.36,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,63.64,0,,0,,0,,11,9.09
Big Creek,16018412802,25,36.0,Tier 3,1,100.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,0.0,1,0.0,0,,1,0.0,8,100.0,0,,1,0.0,1,0.0,8,0.0
Muddy Creek,16003200102,67,35.82,Tier 3,6,100.0,0,,0,,6,16.67,6,0.0,6,0.0,0,,6,83.33,6,0.0,0,,6,0.0,7,100.0,0,,5,0.0,6,83.33,7,0.0
,4001308002,14,35.71,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,7,0.0
,6010800202,14,35.71,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,7,0.0
Scotch River West,18207000702,34,35.29,Tier 3,2,100.0,0,,0,,2,0.0,2,50.0,2,0.0,0,,2,50.0,2,0.0,0,,2,0.0,8,87.5,0,,2,0.0,2,0.0,8,12.5
Turkey Creek,10000100302,74,35.14,Tier 3,6,83.33,0,,0,,6,16.67,6,16.67,6,0.0,0,,6,66.67,6,0.0,0,,6,0.0,10,90.0,0,,6,0.0,6,100.0,10,0.0
,8002201002,20,35.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,50.0,0,,0,,0,,10,20.0
,8002202402,199,34.67,Tier 3,17,100.0,2,0.0,2,0.0,17,5.88,17,47.06,17,58.82,0,,17,58.82,17,0.0,0,,17,0.0,20,90.0,2,0.0,17,0.0,17,29.41,20,0.0
,6008501402,157,34.39,Tier 3,12,83.33,2,0.0,2,0.0,12,0.0,10,40.0,12,41.67,11,100.0,11,81.82,12,0.0,12,0.0,12,0.0,12,91.67,2,0.0,12,0.0,11,36.36,12,0.0
Welland River,11000100702,83,33.73,Tier 3,7,100.0,0,,0,,7,14.29,7,28.57,7,14.29,0,,7,100.0,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
,6015900102,24,33.33,Tier 3,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
,4001310902,15,33.33,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,8,0.0
,6008200302,124,33.06,Tier 3,11,63.64,1,0.0,0,,11,0.0,10,10.0,11,90.91,0,,11,54.55,11,0.0,0,,11,9.09,12,66.67,1,0.0,11,0.0,11,72.73,12,0.0
,3013400302,79,32.91,Tier 3,7,71.43,0,,0,,7,0.0,7,28.57,7,85.71,0,,7,100.0,7,0.0,0,,7,71.43,8,12.5,0,,7,0.0,7,0.0,8,0.0
,6008000602,124,32.26,Tier 3,11,63.64,1,0.0,1,0.0,11,0.0,9,33.33,11,81.82,0,,11,54.55,11,0.0,0,,11,0.0,12,83.33,1,0.0,11,0.0,11,45.45,12,0.0
,9000100402,93,32.26,Tier 3,8,62.5,1,0.0,1,0.0,8,0.0,8,50.0,8,25.0,0,,8,25.0,8,0.0,0,,8,0.0,9,100.0,1,0.0,8,0.0,8,100.0,9,0.0
South Nation River,18207016002,25,32.0,Tier 3,1,100.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,0.0,1,0.0,0,,1,0.0,8,75.0,0,,1,0.0,1,0.0,8,12.5
,8002201202,94,31.91,Tier 3,8,100.0,0,,0,,8,0.0,8,25.0,8,0.0,0,,8,100.0,8,0.0,0,,8,0.0,11,100.0,0,,8,0.0,8,12.5,11,0.0
Nanticoke Creek,16016400102,79,31.65,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,37.5
,4002700802,86,31.4,Tier 3,7,100.0,0,,0,,7,14.29,6,16.67,7,0.0,0,,7,85.71,7,0.0,0,,7,0.0,12,100.0,0,,7,0.0,7,0.0,12,0.0
,3005703202,16,31.25,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,62.5,0,,0,,0,,8,0.0
Grand River,16018409202,16,31.25,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,12.5
Dutton Drain,16007200102,78,30.77,Tier 3,7,85.71,0,,0,,7,42.86,7,28.57,7,0.0,0,,7,85.71,7,0.0,0,,7,0.0,7,100.0,0,,7,0.0,7,0.0,8,0.0
,3005703102,79,30.38,Tier 3,7,100.0,0,,0,,7,0.0,7,42.86,7,28.57,0,,7,85.71,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,0.0
Junction Creek,14002800302,87,29.89,Tier 3,7,0.0,0,,0,,7,0.0,7,0.0,7,71.43,0,,7,0.0,7,0.0,0,,7,100.0,12,100.0,0,,7,0.0,7,0.0,12,16.67
,4001308302,77,29.87,Tier 3,7,100.0,0,,0,,7,0.0,7,42.86,7,14.29,0,,7,71.43,7,0.0,0,,7,0.0,7,85.71,0,,6,0.0,7,14.29,8,0.0
,8002100202,94,29.79,Tier 3,8,100.0,0,,0,,8,12.5,8,25.0,8,12.5,0,,8,62.5,8,0.0,0,,8,0.0,11,81.82,0,,8,0.0,8,12.5,11,9.09
,8002201902,94,29.79,Tier 3,8,100.0,0,,0,,8,25.0,8,25.0,8,12.5,0,,8,37.5,8,0.0,0,,8,0.0,11,81.82,0,,8,0.0,8,12.5,11,18.18
,4001302902,78,29.49,Tier 3,7,100.0,0,,0,,7,0.0,6,33.33,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,14.29,8,0.0
,4002700702,24,29.17,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,58.33,0,,0,,0,,12,0.0
,3013301502,77,28.57,Tier 3,7,85.71,0,,0,,7,0.0,7,28.57,7,14.29,0,,7,100.0,7,0.0,0,,7,0.0,7,85.71,0,,7,0.0,7,0.0,7,0.0
Fairchild Creek,16018409302,70,28.57,Tier 3,6,100.0,0,,0,,6,16.67,6,0.0,6,0.0,0,,6,100.0,6,0.0,0,,6,0.0,8,75.0,0,,6,0.0,6,16.67,8,0.0
,6011200602,14,28.57,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,57.14,0,,0,,0,,7,0.0
Beaver Creek,16008700602,78,28.21,Tier 3,7,100.0,0,,0,,7,0.0,6,33.33,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,0.0
,6002400102,83,27.71,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
Welland River,11000101202,83,27.71,Tier 3,7,100.0,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
Beaudette River,12008000302,77,27.27,Tier 3,7,100.0,0,,0,,7,28.57,7,14.29,7,0.0,0,,7,57.14,6,0.0,0,,7,0.0,8,75.0,0,,6,0.0,7,14.29,8,0.0
,4001302502,85,27.06,Tier 3,7,71.43,0,,0,,7,0.0,7,28.57,7,14.29,0,,7,42.86,7,0.0,0,,7,0.0,11,100.0,0,,7,0.0,7,14.29,11,0.0
Delisle River,12008600102,78,26.92,Tier 3,7,100.0,0,,0,,7,28.57,7,14.29,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,75.0,0,,6,0.0,7,71.43,8,0.0
,6008310302,78,26.92,Tier 3,7,100.0,0,,0,,7,0.0,7,28.57,7,14.29,0,,7,85.71,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,6,0.0,8,0.0
,6008301902,157,26.75,Tier 3,12,75.0,2,0.0,2,0.0,12,0.0,11,18.18,12,8.33,11,100.0,12,58.33,12,0.0,11,0.0,12,0.0,11,81.82,2,0.0,12,0.0,11,18.18,12,8.33
,3005703702,15,26.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,57.14,0,,0,,0,,8,0.0
Hospital Creek,17000900102,15,26.67,Tier 3,0,,0,,0,,0,,0,,0,,5,40.0,0,,0,,0,,0,,5,40.0,0,,0,,0,,5,0.0
,4001301702,79,26.58,Tier 3,7,71.43,0,,0,,7,0.0,7,28.57,7,28.57,0,,7,57.14,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,28.57,8,0.0
,3013301302,84,26.19,Tier 3,6,100.0,0,,0,,7,0.0,7,14.29,7,57.14,0,,7,100.0,7,0.0,0,,7,0.0,11,9.09,0,,7,0.0,7,0.0,11,27.27
,6008000702,84,26.19,Tier 3,7,57.14,0,,0,,7,0.0,6,16.67,7,42.86,0,,7,42.86,7,0.0,0,,7,0.0,11,81.82,0,,7,0.0,7,28.57,11,0.0
,4001308202,77,25.97,Tier 3,7,85.71,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,57.14,7,0.0,0,,7,0.0,7,85.71,0,,6,0.0,7,14.29,8,12.5
,1010800102,93,25.81,Tier 3,8,100.0,1,0.0,1,0.0,8,0.0,8,12.5,8,0.0,0,,8,75.0,8,0.0,0,,8,0.0,9,100.0,1,0.0,8,0.0,8,0.0,9,0.0
,6006301102,78,25.64,Tier 3,7,100.0,0,,0,,7,0.0,6,33.33,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,25.0
Delisle River,12008600202,78,25.64,Tier 3,7,100.0,0,,0,,7,42.86,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,75.0,0,,6,0.0,7,42.86,8,0.0
,4002701702,82,25.61,Tier 3,7,100.0,0,,0,,7,0.0,6,0.0,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,14.29,10,0.0
,6002400902,83,25.3,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
